# -*- coding: utf-8 -*-,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
# A datafile created by Gustav!,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,
# Experiment: fNIRSandGerbils,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,
# Vocoded speech in spatially-separated speech or noise maskers.,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,
# $comments,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
S,Trial,Date,Block,Condition,masker,Soundfile,Ear,Times,,,,,,,,
newpilot912,68,9/12/2023,68,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\50_unscrambled_dt.wav,b,3.468,8.045,9.887,,,,,,
newpilot912,69,9/12/2023,69,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\40_unscrambled_st.wav,b,1.782,4.321,5.48,7.637,,,,,
newpilot912,70,9/12/2023,70,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\19_scrambled_dt.wav,b,3.09,4.233,5.07,11.2,,,,,
newpilot912,71,9/12/2023,71,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\52_unscrambled_dt.wav,b,4.009,5.155,7.558,11.595,,,,,
newpilot912,72,9/12/2023,72,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\25_scrambled_st.wav,b,3.328,5.48,7.013,10.017,,,,,
newpilot912,73,9/12/2023,73,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\42_unscrambled_st.wav,b,3.076,5.309,6.148,8.613,,,,,
newpilot912,74,9/12/2023,74,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\29_scrambled_st.wav,b,2.612,6.701,,,,,,,
newpilot912,75,9/12/2023,75,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\1_scrambled_dt.wav,b,3.385,4.758,10.25,11.866,,,,,
newpilot912,76,9/12/2023,76,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\57_unscrambled_dt.wav,b,3.019,6.18,10.21,11.282,11.969,,,,
newpilot912,77,9/12/2023,77,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\48_unscrambled_st.wav,b,2.237,4.235,5.923,6.995,,,,,
newpilot912,78,9/12/2023,78,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\2_scrambled_st.wav,b,2.391,5.241,7.169,9.173,,,,,
newpilot912,79,9/12/2023,79,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\58_unscrambled_dt.wav,b,2.637,10.083,11.078,,,,,,
newpilot912,80,9/12/2023,80,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\20_scrambled_dt.wav,b,2.099,4.407,6.018,7.088,,,,,
newpilot912,81,9/12/2023,81,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\59_unscrambled_dt.wav,b,2.235,8.034,,,,,,,
newpilot912,82,9/12/2023,82,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\23_scrambled_dt.wav,b,3.77,5.229,7.794,8.786,11.567,,,,
newpilot912,83,9/12/2023,83,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\37_scrambled_st.wav,b,7.04,7.876,10.358,,,,,,
newpilot912,84,9/12/2023,84,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\5_unscrambled_st.wav,b,1.993,4.149,4.366,4.969,,,,,
newpilot912,85,9/12/2023,85,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\60_unscrambled_dt.wav,b,4.085,5.701,6.325,7.469,8.229,,,,
newpilot912,86,9/12/2023,86,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\68_unscrambled_st.wav,b,4.094,6.469,8.226,10.616,11.457,,,,
newpilot912,87,9/12/2023,87,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\38_scrambled_st.wav,b,6.657,8.268,,,,,,,
newpilot912,88,9/12/2023,88,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\27_scrambled_dt.wav,b,6.269,9.597,10.358,11.429,12.268,,,,
newpilot912,89,9/12/2023,89,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\41_scrambled_st.wav,b,5.67,9.63,11.163,,,,,,
newpilot912,90,9/12/2023,90,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\62_unscrambled_dt.wav,b,2.779,2.995,4.607,7.241,8.467,11.328,,,
newpilot912,91,9/12/2023,91,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\33_scrambled_dt.wav,b,7.215,8.287,,,,,,,
newpilot912,92,9/12/2023,92,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\74_unscrambled_st.wav,b,2.931,3.706,5.322,7.787,,,,,
newpilot912,93,9/12/2023,93,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\67_unscrambled_dt.wav,b,3.492,5.575,,,,,,,
newpilot912,94,9/12/2023,94,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\75_unscrambled_st.wav,b,3.163,4.159,6.113,8.194,9.05,11.441,,,
newpilot912,95,9/12/2023,95,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\36_scrambled_dt.wav,b,2.243,2.925,10.134,,,,,,
newpilot912,96,9/12/2023,96,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\44_scrambled_st.wav,b,2.388,4.627,5.544,11.586,,,,,
newpilot912,97,9/12/2023,97,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\43_scrambled_dt.wav,b,4.563,7.114,8.359,,,,,,
newpilot912,98,9/12/2023,98,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\47_scrambled_st.wav,b,2.162,9.036,9.877,,,,,,
newpilot912,99,9/12/2023,99,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\69_unscrambled_dt.wav,b,3.474,7.017,9.802,11.586,,,,,
newpilot912,100,9/12/2023,100,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\76_unscrambled_st.wav,b,1.998,3.376,4.927,7.319,11.34,,,,
newpilot912,101,9/12/2023,101,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\46_scrambled_dt.wav,b,6.025,9.904,11.203,,,,,,
newpilot912,102,9/12/2023,102,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\79_unscrambled_st.wav,b,3.174,5.333,6.558,,,,,,
newpilot912,103,9/12/2023,103,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\49_scrambled_st.wav,b,2.309,5.089,7.25,8.169,,,,,
newpilot912,104,9/12/2023,104,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\71_unscrambled_dt.wav,b,2.069,5.161,10.113,,,,,,
newpilot912,105,9/12/2023,105,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\81_unscrambled_st.wav,b,7.279,9.519,11.679,,,,,,
newpilot912,106,9/12/2023,106,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\73_unscrambled_dt.wav,b,2.089,3.697,6.104,8.658,,,,,
newpilot912,107,9/12/2023,107,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\63_scrambled_st.wav,b,4.403,5.554,9.654,11.518,,,,,
newpilot912,108,9/12/2023,108,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\4_scrambled_dt.wav,b,2.848,7.549,11.882,,,,,,
newpilot912,109,9/12/2023,109,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\66_scrambled_st.wav,b,5.34,8.042,9.188,12.289,,,,,
newpilot912,110,9/12/2023,110,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\51_scrambled_dt.wav,b,1.999,3.858,7.191,9.428,10.264,,,,
newpilot912,111,9/12/2023,111,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\87_unscrambled_st.wav,b,3.719,5.579,7.362,10.389,,,,,
newpilot912,112,9/12/2023,112,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\78_unscrambled_dt.wav,b,2.542,10.346,12.05,,,,,,
newpilot912,113,9/12/2023,113,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\88_unscrambled_st.wav,b,2.319,5.471,11.642,,,,,,
newpilot912,114,9/12/2023,114,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\6_scrambled_st.wav,b,3.536,5.921,11.174,,,,,,
newpilot912,115,9/12/2023,115,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\7_unscrambled_dt.wav,b,2.617,4.47,6.333,9.889,,,,,
newpilot912,116,9/12/2023,116,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\53_scrambled_dt.wav,b,1.842,2.673,4.83,7.538,,,,,
newpilot912,117,9/12/2023,117,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\89_unscrambled_st.wav,b,3.168,4.334,5.793,,,,,,
newpilot912,118,9/12/2023,118,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\54_scrambled_dt.wav,b,1.921,6.476,9.409,,,,,,
newpilot912,119,9/12/2023,119,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\83_unscrambled_dt.wav,b,7.588,8.739,,,,,,,
newpilot912,120,9/12/2023,120,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\77_scrambled_st.wav,b,4.244,7.111,7.951,11.118,,,,,
newpilot912,121,9/12/2023,121,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\55_scrambled_dt.wav,b,4.089,11.435,,,,,,,
newpilot912,122,9/12/2023,122,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\85_unscrambled_dt.wav,b,4.624,6.864,7.935,8.618,12.257,,,,
newpilot912,123,9/12/2023,123,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\82_scrambled_st.wav,b,2.081,6.876,7.499,11.987,,,,,
newpilot912,124,9/12/2023,124,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\8_unscrambled_st.wav,b,4.327,5.325,12.061,,,,,,
newpilot912,125,9/12/2023,125,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\86_unscrambled_dt.wav,b,4.083,8.281,,,,,,,
newpilot912,126,9/12/2023,126,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\56_scrambled_dt.wav,b,4.482,7.877,9.799,11.276,,,,,
newpilot912,127,9/12/2023,127,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\84_scrambled_st.wav,b,1.783,4.01,8.728,11.506,,,,,
newpilot912,128,9/12/2023,128,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\90_unscrambled_st.wav,b,3.08,7.174,,,,,,,
newpilot912,129,9/12/2023,129,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\61_scrambled_dt.wav,b,4.775,7.642,10.952,,,,,,
newpilot912,130,9/12/2023,130,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\93_unscrambled_dt.wav,b,1.536,7.079,9.172,12.031,,,,,
newpilot912,131,9/12/2023,131,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\91_unscrambled_st.wav,b,2.074,5.936,6.848,11.407,,,,,
newpilot912,132,9/12/2023,132,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\95_scrambled_st.wav,b,2.791,10.529,12.146,,,,,,
newpilot912,133,9/12/2023,133,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\64_scrambled_dt.wav,b,5.487,6.792,11.12,12.039,,,,,
newpilot912,134,9/12/2023,134,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_diff_talker\98_unscrambled_dt.wav,b,2.088,8.504,11.138,,,,,,
newpilot912,135,9/12/2023,135,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\unscrambled_same_talker\92_unscrambled_st.wav,b,2.532,3.759,4.986,8.547,,,,,
newpilot912,136,9/12/2023,136,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_same_talker\97_scrambled_st.wav,b,4.18,7.511,9.054,,,,,,
newpilot912,137,9/12/2023,137,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot912\scrambled_diff_talker\65_scrambled_dt.wav,b,4.015,4.543,6.397,7.392,10.015,12.173,,,
newpilot917,1,9/22/2023,1,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_diff_talker\102_scrambled_dt.wav,b,,,,,,,,,
newpilot917,2,9/22/2023,2,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_same_talker\100_scrambled_st.wav,b,2.784,4.657,8.78,11.188,,,,,
newpilot917,3,9/22/2023,3,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_diff_talker\103_unscrambled_dt.wav,b,2.939,5.897,9.788,11.023,12.021,,,,
newpilot917,4,9/22/2023,4,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_same_talker\101_unscrambled_st.wav,b,2.636,4.422,5.888,8.604,,,,,
newpilot917,5,9/22/2023,5,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_diff_talker\106_unscrambled_dt.wav,b,2.014,4.093,6.039,,,,,,
newpilot917,6,9/22/2023,6,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_same_talker\114_scrambled_st.wav,b,3.405,7.995,10.239,,,,,,
newpilot917,7,9/22/2023,7,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_same_talker\105_unscrambled_st.wav,b,4.195,7.225,9.082,11.886,,,,,
newpilot917,8,9/22/2023,8,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_diff_talker\104_scrambled_dt.wav,b,2.01,3.487,,,,,,,
newpilot917,9,9/22/2023,9,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_diff_talker\109_unscrambled_dt.wav,b,1.698,3.243,5.506,8.768,,,,,
newpilot917,10,9/22/2023,10,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_diff_talker\107_scrambled_dt.wav,b,2.011,3.565,10.56,,,,,,
newpilot917,11,9/22/2023,11,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_same_talker\111_unscrambled_st.wav,b,1.78,3.396,5.165,6.403,8.348,9.506,,,
newpilot917,12,9/22/2023,12,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_same_talker\116_scrambled_st.wav,b,7.534,8.297,9.297,,,,,,
newpilot917,13,9/22/2023,13,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_same_talker\113_unscrambled_st.wav,b,4.122,5.278,6.747,8.305,,,,,
newpilot917,14,9/22/2023,14,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_same_talker\118_scrambled_st.wav,b,2.941,8.931,11.175,,,,,,
newpilot917,15,9/22/2023,15,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_diff_talker\115_unscrambled_dt.wav,b,1.696,4.109,4.965,7.614,8.842,11.812,,,
newpilot917,16,9/22/2023,16,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_diff_talker\108_scrambled_dt.wav,b,3.252,5.417,7.273,8.739,9.738,,,,
newpilot917,17,9/22/2023,17,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_diff_talker\120_unscrambled_dt.wav,b,2.403,4.407,7.04,8.603,10.228,,,,
newpilot917,18,9/22/2023,18,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_same_talker\11_scrambled_st.wav,b,2.09,3.494,4.568,10.399,,,,,
newpilot917,19,9/22/2023,19,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_diff_talker\10_scrambled_dt.wav,b,6.287,9.09,11.878,,,,,,
newpilot917,20,9/22/2023,20,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_same_talker\117_unscrambled_st.wav,b,3.012,4.794,7.289,8.367,9.057,9.682,10.762,,
newpilot917,21,9/22/2023,21,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_diff_talker\110_scrambled_dt.wav,b,9.573,10.431,11.218,12.142,,,,,
newpilot917,22,9/22/2023,22,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_diff_talker\125_unscrambled_dt.wav,b,1.781,2.617,5.168,6.56,9.051,10.68,,,
newpilot917,23,9/22/2023,23,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_same_talker\121_unscrambled_st.wav,b,6.923,8.005,9.003,9.999,10.919,11.843,,,
newpilot917,24,9/22/2023,24,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_same_talker\122_scrambled_st.wav,b,1.925,9.339,10.336,,,,,,
newpilot917,25,9/22/2023,25,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_diff_talker\112_scrambled_dt.wav,b,5.514,6.753,,,,,,,
newpilot917,26,9/22/2023,26,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_same_talker\123_scrambled_st.wav,b,4.039,7.541,11.901,,,,,,
newpilot917,27,9/22/2023,27,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_same_talker\126_unscrambled_st.wav,b,2.082,5.495,7.202,10.311,11.461,,,,
newpilot917,28,9/22/2023,28,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_diff_talker\12_unscrambled_dt.wav,b,1.719,10.578,,,,,,,
newpilot917,29,9/22/2023,29,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_same_talker\124_scrambled_st.wav,b,5.203,6.277,10.864,12.033,,,,,
newpilot917,30,9/22/2023,30,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_same_talker\129_unscrambled_st.wav,b,2.708,5.74,8.918,,,,,,
newpilot917,31,9/22/2023,31,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_diff_talker\119_scrambled_dt.wav,b,3.257,4.333,7.899,9.836,11.702,,,,
newpilot917,32,9/22/2023,32,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_diff_talker\133_unscrambled_dt.wav,b,5.441,6.379,8.471,9.937,,,,,
newpilot917,33,9/22/2023,33,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_same_talker\130_unscrambled_st.wav,b,7.41,8.251,9.261,10.028,,,,,
newpilot917,34,9/22/2023,34,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_same_talker\141_scrambled_st.wav,b,1.94,3.096,6.99,8.848,,,,,
newpilot917,35,9/22/2023,35,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_diff_talker\135_unscrambled_dt.wav,b,2.011,3.782,5.343,7.053,10.007,,,,
newpilot917,36,9/22/2023,36,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_diff_talker\127_scrambled_dt.wav,b,4.214,5.133,11.056,,,,,,
newpilot917,37,9/22/2023,37,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_same_talker\137_unscrambled_st.wav,b,1.62,3.323,4.702,6.183,8.893,10.044,10.729,,
newpilot917,38,9/22/2023,38,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_same_talker\17_scrambled_st.wav,b,3.098,5.343,6.969,9.686,,,,,
newpilot917,39,9/22/2023,39,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_diff_talker\128_scrambled_dt.wav,b,7.007,9.427,,,,,,,
newpilot917,40,9/22/2023,40,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_diff_talker\136_unscrambled_dt.wav,b,3.951,10.937,11.934,,,,,,
newpilot917,41,9/22/2023,41,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_same_talker\138_unscrambled_st.wav,b,1.696,3.475,4.396,5.315,6.08,8.644,11.902,,
newpilot917,42,9/22/2023,42,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_same_talker\18_scrambled_st.wav,b,5.115,6.678,11.973,,,,,,
newpilot917,43,9/22/2023,43,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_diff_talker\131_scrambled_dt.wav,b,7.712,8.709,11.812,,,,,,
newpilot917,44,9/22/2023,44,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_diff_talker\13_unscrambled_dt.wav,b,1.617,3.942,5.48,6.477,8.718,,,,
newpilot917,45,9/22/2023,45,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_diff_talker\132_scrambled_dt.wav,b,2.649,6.301,9.021,10.022,11.961,,,,
newpilot917,46,9/22/2023,46,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_same_talker\1_scrambled_st.wav,b,1.926,6.204,9.236,,,,,,
newpilot917,47,9/22/2023,47,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_diff_talker\142_unscrambled_dt.wav,l,1.931,6.042,7.425,8.267,9.265,,,,
newpilot917,48,9/22/2023,48,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_same_talker\139_unscrambled_st.wav,b,2.704,3.622,7.366,7.741,7.802,8.881,9.099,9.79,10.802
newpilot917,49,9/22/2023,49,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_same_talker\22_scrambled_st.wav,b,1.778,4.03,7.375,10.952,,,,,
newpilot917,50,9/22/2023,50,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_diff_talker\134_scrambled_dt.wav,b,2.787,3.787,5.586,8.769,,,,,
newpilot917,51,9/22/2023,51,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_diff_talker\143_unscrambled_dt.wav,b,1.557,2.18,3.413,5.508,6.661,9.297,10.002,10.944,
newpilot917,52,9/22/2023,52,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_same_talker\140_unscrambled_st.wav,b,1.938,5.442,9.878,11.345,,,,,
newpilot917,53,9/22/2023,53,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_same_talker\26_scrambled_st.wav,b,1.945,3.329,4.248,6.495,12.255,,,,
newpilot917,54,9/22/2023,54,1,scrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_diff_talker\144_scrambled_dt.wav,b,4.2,7.86,8.854,12.117,,,,,
newpilot917,55,9/22/2023,55,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_diff_talker\16_unscrambled_dt.wav,b,2.09,3.946,4.94,6.875,8.493,9.568,,,
newpilot917,56,9/22/2023,56,4,unscrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_same_talker\15_unscrambled_st.wav,b,2.543,3.307,4.225,5.069,6.632,10.07,,,
newpilot917,57,9/22/2023,57,2,scrambled_same_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\scrambled_same_talker\28_scrambled_st.wav,b,3.659,5.987,7.548,8.332,,,,,
newpilot917,58,9/22/2023,58,3,unscrambled_diff_talker,D:\Experiments\fNIRSandGerbils\stim\s_newpilot917\unscrambled_diff_talker\19_unscrambled_dt.wav,b,3.125,5.362,6.438,10.636,,,,,
