# -*- coding: utf-8 -*-,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
# A datafile created by Gustav!,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,
# Experiment: fNIRSandGerbils,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,
# Vocoded speech in spatially-separated speech or noise maskers.,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,
# $comments,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
S,Trial,Date,Block,Condition,masker,Soundfile,Ear,Times,,,,,,,,
bentest,39,3/15/2023,39,1,scrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_bentest\scrambled\47_scrambled.wav,b,1.803,2.023,2.822,4.41,5.923,,,,
bentest,40,3/15/2023,40,2,unscrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_bentest\unscrambled\42_unscrambled.wav,b,3.481,4.112,5.192,,,,,,
bentest,41,3/15/2023,41,1,scrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_bentest\scrambled\48_scrambled.wav,b,1.561,3.172,3.881,,,,,,
bentest,42,3/15/2023,42,2,unscrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_bentest\unscrambled\46_unscrambled.wav,b,2.631,3.416,,,,,,,
bentest,43,3/15/2023,43,1,scrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_bentest\scrambled\5_scrambled.wav,b,1.021,5.381,5.971,,,,,,
bentest,44,3/15/2023,44,2,unscrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_bentest\unscrambled\4_unscrambled.wav,b,5.701,,,,,,,,
bentest,45,3/15/2023,45,1,scrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_bentest\scrambled\8_scrambled.wav,b,2.871,3.812,5.411,6.181,,,,,
bentest,46,3/15/2023,46,2,unscrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_bentest\unscrambled\6_unscrambled.wav,b,2.191,3.141,4.218,4.811,5.511,6.141,,,
bentest,47,3/15/2023,47,1,scrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_bentest\scrambled\9_scrambled.wav,b,2.272,4.151,5.178,6.117,,,,,
bentest,48,3/15/2023,48,2,unscrambled,C:\Users\benri\Documents\GitHub\fNIRSandGerbils\stim\s_bentest\unscrambled\7_unscrambled.wav,b,2.581,3.531,4.536,5.171,6.132,,,,
